node_id,node_type,label,definition,body_systems,severity,age_groups,icd_category,is_contagious,inheritance
D00001,Disease,Abscess,"These four signs—heat, swelling, redness, and pain—characterize inflammation. There are two types of abscesses, septic and sterile. Most abscesses are septic, which means that they are the result of an infection. Septic abscesses can occur anywhere in the body. Only a germ and the body’s As the proc",respiratory; gastrointestinal; dermatological; infectious,Severe,All ages,Various,No,
D00002,Disease,Abscess incision and drainage,"An infected skin nodule that contains pus may need to be drained via a cut if it does not respond to antibiotics. This allows the pus to escape, and the infection to heal. Once the abscess is properly drained, the prognosis is excellent for the condition itself. The reason for the abscess (other dis",respiratory; neurological; gastrointestinal; musculoskeletal,Critical,All ages,Various,No,
D00003,Disease,"G AL E E N CY C LO PE DI A O F M E D IC I NE , 5 T H E DI T IO N","Abuse is defined as any action that intentionally harms or injures another person. Abuse also encompasses inappropriate use of any substance, especially those that alter consciousness (e.g., alcohol, cocaine, methamphetamines).",musculoskeletal; psychiatric,Severe,Children; Adults/Elderly,Various,No,
D00004,Disease,Acetaminophen,"Acetaminophen, paracetamol, is a medicine that is sold over the counter and combined with stronger pain relievers by prescription, to relieve mild to moderate pain. Purpose Acetaminophen and aspirin are equally effective as pain relievers. But, unlike aspirin, acetaminophen does not reduce inflammat",gastrointestinal,Moderate,Children; Adults/Elderly,Various,No,
D00005,Disease,Acetylsalicylic acid see Aspirin,Achalasia is a disorder of the esophagus that prevents normal swallowing.,cardiovascular; neurological; gastrointestinal; musculoskeletal,Unknown,All ages,Various,No,
D00006,Disease,Achondroplasia,"Achondroplasia is the most common cause of dwarfism, or significantly abnormal short stature.",neurological; gastrointestinal; musculoskeletal,Unknown,Infants,Various,No,Genetic/Hereditary
D00007,Disease,Acne,"Acne is a common skin condition characterized by pimples on the face, chest, and back. It occurs when the pores of the skin become clogged with oil, dead skin cells, and bacteria.",gastrointestinal; endocrine; immunological; dermatological,Unknown,All ages,Various,No,
D00008,Disease,Acoustic neuroma,An acoustic neuroma is a benign tumor involving cells of the myelin sheath that surrounds the vestibulocochlear nerve (eighth cranial nerve).,neurological; musculoskeletal; oncological; ophthalmological,Moderate,All ages,Various,No,Genetic/Hereditary
D00009,Disease,Acrocyanosis,"Acrocyanosis is a decrease in the amount of oxygen delivered to the extremities. The hands and feet turn blue because of the lack of oxygen. Decreased blood supply to the affected areas is caused by constriction or spasm of small blood vessels. BOOKS ‘‘Acoustic Neuroma.’’ Section 7, Chapter 85. In B",neurological; gastrointestinal; dermatological; hematological,Moderate,All ages,Various,No,
D00010,Disease,Acromegaly and gigantism,"Causes and symptoms The sympathetic nerves cause constriction or spasms in the peripheral blood vessels that supply blood to the extremities. The spasms are a contraction of the muscles in the walls of the blood vessels. The contraction decreases the internal diameter of the blood vessels, thereby d",neurological; musculoskeletal; endocrine; dermatological,Severe,All ages,Various,No,
D00011,Disease,Actinomycosis,"Actinomycosis is an infection primarily caused by the bacterium Actinomyces israelii. Infection most often occurs in the face and neck region and is characterized by the presence of a slowly enlarging, hard, red lump.",cardiovascular; neurological; dermatological; infectious,Moderate,All ages,Various,Yes,
D00012,Disease,Acupressure,"Acupressure is a form of touch therapy that utilizes the principles of acupuncture and Chinese medicine. In acupressure, the same points on the body are used as in acupuncture, but are stimulated with finger pressure Therapist working acupressure points on a woman’s shoulder. (Photo ers, Inc.) 40 G ",respiratory; musculoskeletal; immunological,Unknown,All ages,Various,No,
D00013,Disease,Acute kidney failure,"Acute kidney failure occurs when illness, infection, or injury damages the kidneys. Temporarily, the kidneys cannot adequately remove fluids and wastes from the body or maintain the proper level of certain kidney-regulated chemicals in the bloodstream. G AL E E N CY C LO PE DI A O F M E D IC I NE , ",cardiovascular; gastrointestinal; musculoskeletal; endocrine,Critical,All ages,Various,No,
D00014,Disease,Acute lymphangitis,"Acute lymphangitis is a bacterial infection in the lymphatic vessels which is characterized by painful, red streaks below the skin surface. This is a potentially serious infection that can rapidly spread to the bloodstream and be fatal.",cardiovascular; respiratory; neurological; musculoskeletal,Critical,All ages,Various,No,
D00015,Disease,glomerulonephritis,"Acute poststreptococcal glomerulonephritis (APSGN) is an inflammation of the kidney tubules (glomeruli) that filter waste products from the blood, following a streptococcal infection such as strep throat. APSGN is also called postinfectious glomerulonephritis.",dermatological; renal; infectious; hematological,Unknown,All ages,Various,No,
D00016,Disease,Acute stress disorder,Acute stress disorder (ASD) is an anxiety disorder characterized by a cluster of dissociative and anxiety symptoms that occur within a month of a traumatic stressor. The diagnosis was added to the fourth edition of the Diagnostic and Statistical Manual of Mental Disorders(DSM-IV) in 1994 to distingu,neurological; psychiatric,Unknown,All ages,Various,No,Genetic/Hereditary
D00017,Disease,Addiction,"Addiction is a disease of the brain that causes dependence upon or a persistent, compulsive need to use a habit-forming substance or an irresistible urge to engage in an activity, despite harmful consequences. Addictions are characterized by the increasing need for more of the substance or activity ",neurological; psychiatric,Critical,All ages,Various,No,
D00018,Disease,Addison’s disease,Addison’s disease is a disorder involving disrupted functioning of the part of the adrenal gland called the cortex. This results in decreased production of two important chemicals (hormones) normally released by the adrenal cortex: cortisol and aldosterone.,cardiovascular; endocrine; immunological; renal,Moderate,All ages,Various,No,
D00019,Disease,Adenoid hyperplasia,"Adenoid hyperplasia, or sometimes also commonly called adenoid hypertrophy or enlarged adenoids, is the overenlargement (or unusual growth) of the lymph glands (lymphatic tissue) located between the nose and the back of the mouth. The tissues are similar in characteristics to the tonsils.",endocrine; immunological; infectious,Severe,Children,Various,No,
D00020,Disease,Adenovirus infections,"Adenoviruses are DNA viruses (small infectious agents) that cause upper respiratory tract infections, conjunctivitis, and several other infections in humans, They usually infect the tissue lining of the respiratory tract.",respiratory; endocrine; reproductive; infectious,Critical,Infants; Children,Various,Yes,
D00021,Disease,Adhesions,"Adhesions are fibrous bands of scar tissue that form between internal organs and tissues, joining them together abnormally.",neurological; gastrointestinal; immunological; reproductive,Critical,All ages,Various,No,
D00022,Disease,Adjustment disorders,"Systemic anti-inflammatory medications may be used to help prevent adhesion formation. Recent studies suggest that the common oral arthritis drug, Celebrex, an anti-inflammatory COX-2 inhibitor, taken before and immediately after surgery, may help prevent abdominal adhesions. Celebrex is known to in",musculoskeletal; immunological; psychiatric; hematological,Moderate,All ages,Various,No,
D00023,Disease,Admission to the hospital,"Hospital admission involves staying at a hospital for one night or more. Purpose Staying in the hospital overnight is typically required when an individual is too sick to stay at home, requires 24-hour nursing care, or is receiving medications and undergoing tests or surgery that can be performed on",immunological; psychiatric,Severe,Infants,Various,No,
D00024,Disease,Adrenal gland cancer,Adrenal gland cancers are rare cancers occurring in the endocrine tissue of the adrenals. They are characterized by overproduction of adrenal gland hormones. Tumors that arise from the adrenal cortex are termed adrenocortical carcinoma while tumors that develop in the adrenal medulla are known as ph,cardiovascular; endocrine; renal; hematological,Unknown,All ages,C00-D49,No,Genetic/Hereditary
D00025,Disease,Adrenal virilism,Adrenal virilism is the development or premature development of male secondary sexual characteristics caused by male sex hormones (androgens) excessively produced by the adrenal gland. This disorder can occur before birth and can lead to sexual abnormalities in newborns. It can also occur in girls a,endocrine; renal; oncological,Moderate,Infants,Various,No,Genetic/Hereditary
D00026,Disease,patient cannot eat or drink anything after midnight,Adrenoleukodystrophy is a rare genetic disease characterized by a loss of myelin surrounding nerve cells in the brain and progressive adrenal gland dysfunction.,respiratory; neurological; endocrine; renal,Critical,All ages,Various,No,Genetic/Hereditary
D00027,Disease,Adult day care,"Adult day care encompasses programs, services, and facilities intended to assist physically or mentally impaired adults so that they remain in the community. It is often an alternative to institutional long-term care and rehabilitation.",psychiatric,Moderate,Adults/Elderly,Various,No,Genetic/Hereditary
D00028,Disease,syndrome,"Adult respiratory distress syndrome (ARDS), also called acute respiratory distress syndrome, is a type of lung (pulmonary) failure that may result from any disease that causes large amounts of fluid to collect in the lungs. ARDS is not itself a specific disease, but a syndrome, a group of symptoms a",cardiovascular; respiratory; neurological; gastrointestinal,Unknown,Children; Adults/Elderly,Various,No,
D00029,Disease,Advance directives,"Prognosis If the patient’s lung injury does not soon begin to heal, the lack of sufficient oxygen can injure other organs, such as the kidneys. There always is a risk that bacterial pneumonia will develop at some point. Without prompt treatment, as many as 90% of patients with An advance directive i",cardiovascular; respiratory; renal; psychiatric,Moderate,All ages,Various,No,
D00030,Disease,Aging, Aging PERIODICALS Aging  Declining visual abilities. Age-related changes may lead to diseases such as macular degeneration  A compromised ability to produce vitamin D from sunlight ,immunological,Unknown,All ages,Various,No,
D00031,Disease,Agoraphobia,The word agoraphobia is derived from Greek words literally meaning ‘‘fear of the marketplace.’’ The term is used to describe an irrational and often disabling fear of being out in public.,cardiovascular; neurological; psychiatric,Unknown,All ages,Various,No,
D00032,Disease,AIDS,AIDS—acquired immune deficiency syndrome— is an infectious disease caused by the human immunodeficiency virus—HIV. The virus damages the immune system by destroying white blood cells (lymphocytes)—especially T cells—that carry a protein called CD4 on the cell surface. The weakened immune system leav,immunological; infectious; hematological; oncological,Severe,All ages,Various,No,
D00033,Disease,Alagille syndrome,"Alagille syndrome (ALGS) is a rare genetic condition that affects the bile ducts of the liver primarily. It can also affect the heart, kidneys, skeleton, and other parts of the body. ALGS is usually caused by a defect in the JAG1 gene and is known as Alagille syndrome 1 or ALGS1. Rarely it is caused",cardiovascular; respiratory; neurological; gastrointestinal,Severe,Children,Various,No,
D00034,Disease,Albinism,"Albinism is an inherited condition present at birth, characterized by a lack of pigment that normally gives color to the skin, hair, and eyes. Many types of albinism exist, all of which involve lack of pigment in varying degrees. The condition, which is found in all races, may be accompanied by eye ",dermatological; oncological; ophthalmological,Severe,Infants,Various,No,Genetic/Hereditary
D00035,Disease,disease,"Alcohol, or ethanol, is a poison with direct toxic effects on nerve and muscle cells. Depending on which nerve and muscle pathways are involved, alcohol can have far-reaching effects on different parts of the brain, peripheral nerves, and muscles, with symptoms of memory loss, incoordination, seizur",cardiovascular; respiratory; neurological; gastrointestinal,Critical,All ages,Various,No,Genetic/Hereditary
D00036,Disease,Alcoholism,"Alcoholism is a chronic physical, psychological, and behavioral disorder characterized by excessive use of alcoholic beverages; emotional and physical dependence on them; increased tolerance over time of the effects of alcohol; and withdrawal symptoms if the person stops drinking.",psychiatric; hematological,Unknown,All ages,Various,No,
D00037,Disease,KEY TERMS,"The Alexander technique is a somatic method for improving physical and mental functioning. Excessive tension, which Frederick Alexander, the originator, recognized as both physical and mental, restricts movement and creates pressure in the joints, the spine, the breathing mechanism, and other organs",cardiovascular; respiratory; gastrointestinal; musculoskeletal,Unknown,All ages,Various,No,
D00038,Disease,Allergic purpura,"Allergic purpura (AP) is an allergic reaction of unknown origin causing red patches on the skin and other symptoms. AP is also called Henoch–Schönlein purpura, named after the two German doctors who first described the condition in the 1860s.",cardiovascular; gastrointestinal; musculoskeletal; immunological,Mild,All ages,Various,Yes,
D00039,Disease,Allergic rhinitis,"Allergic rhinitis, more commonly referred to as hay fever, is an inflammation of the nasal passages caused by allergic reaction to airborne substances such as dander, dust, or pollen.",immunological,Moderate,All ages,Various,No,
D00040,Disease,Allergies,Allergies are hypersensitive responses by the immune system to otherwise harmless foreign substances referred to as allergens.,cardiovascular; neurological; immunological; infectious,Unknown,All ages,Various,No,Genetic/Hereditary
D00041,Disease,"(accessed August 15, 2013).",Alopecia simply means hair loss (baldness).,cardiovascular; respiratory; endocrine; immunological,Moderate,All ages,Various,No,Genetic/Hereditary
D00042,Disease,Alpha1-adrenergic blockers,"Alpha1-adrenergic blockers, called alpha blockers for short, are drugs that work by blocking the alpha1receptors in smooth muscle. When these receptor sites are blocked, stress hormones (catecholamines) cannot act on the smooth muscle cells. The result is relaxation (vasodilatation) and widening of ",cardiovascular; neurological; musculoskeletal; endocrine,Moderate,All ages,Various,No,
D00043,Disease,Alport syndrome,"Alport syndrome is a hereditary disease of the kidneys that primarily affects men, causing blood in the urine, hearing loss, and eye problems. Eventually, kidney dialysis or transplant may be necessary.",renal; hematological; ophthalmological,Severe,All ages,Various,No,Genetic/Hereditary
D00044,Disease,Altitude sickness,"Altitude sickness is a general term encompassing a spectrum of disorders that occur at higher altitudes. Since the severity of symptoms varies with altitude, it is important to understand the range of the different altitudes that may be involved. Medium altitude is defined as height between 5,000 an",respiratory; infectious; hematological,Severe,All ages,Various,No,
D00045,Disease,Alzheimer’s disease,"Alzheimer’s disease (AD) is the most common form of dementia in those aged 65 and older. It is an irreversible and incurable progressive neurological disease caused by the degeneration and eventual death of a large number of neurons (nerve cells) in several areas of the brain, accompanied by diminis",neurological; psychiatric; hematological,Critical,Adults/Elderly,Various,No,Genetic/Hereditary
D00046,Disease,Amblyopia,Amblyopia is a decrease in vision in a healthy eye that is caused by problems with the eye and the brain failing to work together in correctly processing information from the ‘‘bad’’ or amblyopic eye. Lazy eye is a common nonmedical term used to describe amblyopia because the eye with poorer vision ,neurological; ophthalmological,Severe,All ages,Various,No,
D00047,Disease,Amebiasis,"Human beings are the only known host of the amebiasis organism, and all groups of people, regardless of age or sex, can become affected. Amebiasis is primarily spread in food and water that has been contaminated by human feces but is also spread by person-to-person contact. The number of cases is ty",gastrointestinal,Unknown,All ages,Various,Yes,
D00048,Disease,"G A LE EN CY C LO PE DI A O F ME D IC I NE , 5 T H E DI T IO N",Amenorrhea,,Unknown,All ages,Various,No,
D00049,Disease,Amino acid disorders screening,"Amino acid disorder screening checks for inherited disorders in amino acid metabolism. Tests are most commonly done on newborns. Two tests are available, one using a blood sample and the other a urine sample. Purpose Amino acid disorder screening is done in newborns, and sometimes children and adult",renal; hematological,Unknown,Infants; Children; Adults/Elderly,Various,No,
D00050,Disease,Aminoglycosides,"Aminoglycosides are a group of antibiotics that are used alone or in combination with other antibiotics to treat bacterial infections. This group of antibiotics includes at least eight drugs: amikacin, gentamicin, kanamycin, neomycin, netilmicin, paromomycin, streptomycin, and tobramycin. All of the",cardiovascular; gastrointestinal; musculoskeletal; renal,Unknown,All ages,Various,No,
D00051,Disease,Amnesia,"Amnesia refers to the partial or total loss of memory. The loss may be temporary or permanent. Amnestic disorders are a group of disorders that involve loss of memories previously established, loss of the ability to create new memories, or loss of the ability to learn new information. Hippocampus Am",neurological; infectious,Unknown,All ages,Various,No,
D00052,Disease,Amputation,"Amputation is the surgical removal of a limb or body part. It is performed to remove diseased tissue, to relieve pain, or as a result of traumatic injury. Purpose Arms, legs, hands, feet, fingers, and toes can all be amputated. In the United States, there are approximately 1.7 million amputees, with",cardiovascular; neurological; musculoskeletal; dermatological,Moderate,All ages,Various,No,
D00053,Disease,Amyloidosis,"Amyloidosis is a progressive, incurable, metabolic disease characterized by abnormal deposits of protein in one or more organs or body systems.",gastrointestinal; musculoskeletal; renal; hematological,Critical,All ages,Various,No,Genetic/Hereditary
D00054,Disease,Amyotrophic lateral sclerosis,"Amyotrophic lateral sclerosis (ALS) is a disease that breaks down tissues in the nervous system (a neurodegenerative disease) of unknown cause that affects the nerves responsible for movement. It is also known as motor neuron disease and Lou Gehrig’s disease, after the baseball player whose career i",neurological; gastrointestinal; musculoskeletal; renal,Critical,All ages,Various,No,
D00055,Disease,Anabolic steroid use,Anabolic steroids are a class of man-made drugs that are chemically related to the male hormone testosterone.,cardiovascular; gastrointestinal; musculoskeletal; endocrine,Moderate,All ages,Various,No,
D00056,Disease,www.usdoj.gov/dea/concern/steroids.html,"An anaerobic infection is an infection caused by bacteria (called anaerobes) which cannot grow in the presence of oxygen. Anaerobic bacteria can infect deep wounds, deep tissues, and internal organs where there is little oxygen. These infections are characterized by abscess formation, foul-smelling ",respiratory; gastrointestinal; immunological; dermatological,Unknown,All ages,Various,No,
D00057,Disease,internal infections.,The anus is either not present or it is in the wrong place.,gastrointestinal; musculoskeletal; dermatological; renal,Severe,Children,Various,No,Genetic/Hereditary
D00058,Disease,contracting.,"Anal cancer is an uncommon form of cancer affecting the anus. The anus is the inch-and-a-halflong end portion of the large intestine, which opens to allow solid wastes to exit the body. Other parts of the large intestine include the colon and the rectum.",gastrointestinal; endocrine; oncological,Unknown,All ages,Various,No,
D00059,Disease,Analgesics,"Analgesics are medicines that relieve pain. Purpose Analgesics are those drugs that mainly provide pain relief. The primary classes of analgesics are the narcotics, including additional agents that are chemically based on the morphine molecule but have minimal abuse potential; nonsteroidal anti-infl",neurological; musculoskeletal; immunological; infectious,Severe,All ages,Various,No,
D00060,Disease,"Analgesics, opioid","Opioid analgesics, also known as narcotic analgesics, are pain relievers that act on the central nervous system. Like all narcotics, they may become habitforming if used over long periods. Opioid analgesics Drug Route of administration Onset of action (min) Time to peak effect (min) Duration of acti",,Unknown,All ages,Various,No,
D00061,Disease,Anaphylaxis,"Anaphylaxis is a rapidly progressing, life-threatening allergic reaction.",cardiovascular; neurological; gastrointestinal; musculoskeletal,Critical,All ages,Various,No,
D00062,Disease,Anatomy,"Anatomy is the branch of biomedical science that deals with the morphology (form and structure) of the human body or of other animals or plants. It can be contrasted with physiology, which is the study of the functions and vital processes of a living organism or its parts. The English word anatomy c",cardiovascular; respiratory; neurological; gastrointestinal,Unknown,All ages,Various,No,
D00063,Disease,Anemias,Anemia is a condition characterized by abnormally low levels of healthy red blood cells or hemoglobin (the component of red blood cells that delivers oxygen to tissues throughout the body). It is sometimes referred to as iron-poor blood or ‘‘tired blood.’’,respiratory; gastrointestinal; musculoskeletal; hematological,Unknown,All ages,Various,Yes,Genetic/Hereditary
D00064,Disease,Anesthesia,"Anesthesia is medication administered by a medical professional that is used to reduce or prevent pain during surgery. There are four main types: general, local, regional, and epidural. General anesthesia is the induction of a state of unconsciousness with the absence of pain sensation over the enti",cardiovascular; respiratory; neurological; gastrointestinal,Unknown,All ages,Various,No,
D00065,Disease,Anger management,"Anger management guides a person through learning to deal better with anger. Therapists provide tools to help the person manage responses to anger, and anger management often involves counseling or psychotherapy.",cardiovascular; musculoskeletal; psychiatric; hematological,Critical,Children; Adults/Elderly,Various,No,
D00066,Disease,Angina,Angina see the problem logically. Measurement also provides information to therapists to help better structure anger management programs. People seeking anger management for themselves or a loved one should be sure that they receive referrals to licensed mental health professionals. Angina K E Y TE ,cardiovascular; psychiatric; hematological,Unknown,All ages,Various,No,
D00067,Disease,Angiography,"Angiography is the x-ray (radiographic) study of the blood vessels. An angiogram uses a radiopaque substance, or contrast medium, to make the blood vessels visible under x ray. The key ingredient in most radiographic contrast media is iodine. Arteriography is a type of radiographic examination that ",cardiovascular; neurological; renal; hematological,Severe,All ages,Various,No,
D00068,Disease,enzyme inhibitors,"Angiotensin-converting enzyme inhibitors, often called ACE inhibitors, are drugs that block the conversion of the chemical angiotensin I into angiotensin II. Angiotensin II increases blood pressure by causing blood vessels to constrict (narrow) and increasing salt and water retention in the body. Th",cardiovascular; endocrine; dermatological; hematological,Unknown,All ages,Various,No,
D00069,Disease, salt substitutes that contain potassium,"This test measures blood levels of angiotensinconverting enzyme (ACE), also known as Serum Angiotensin-Converting Enzyme (SASE). The primary function of ACE is to help regulate arterial pressure by converting angiotensin I to angiotensin II. Purpose The ACE test is used primarily to detect and monit",cardiovascular; respiratory; gastrointestinal; endocrine,Unknown,All ages,Various,No,
D00070,Disease,Animal bite infections,"The most common problem following an animal bite is simple infection. The saliva of dogs, cats, ferrets, and rabbits is known to contain a wide variety of bacteria. According to one recent study, bacteria or other pathogens show up in about 85% of bites. When an animal bites, it can then transmit pa",cardiovascular; respiratory; neurological; musculoskeletal,Critical,Children,Various,No,
D00071,Disease,Anorectal disorders,Anorectal disorders are a group of medical disorders that occur at the junction of the anal canal and the rectum.,neurological; gastrointestinal; musculoskeletal; dermatological,Unknown,All ages,Various,No,
D00072,Disease,Anorexia nervosa,Anorexia nervosa is an eating disorder that involves self-imposed starvation. The individual is obsessed with becoming increasingly thinner and limits food intake to the point where health is compromised. Anorexia nervosa can be fatal.,cardiovascular; gastrointestinal; psychiatric; infectious,Critical,All ages,Various,No,
D00073,Disease,Anosmia,"The term anosmia means lack of the sense of smell. It may also refer to a decreased sense of smell. Ageusia, a companion word, refers to a lack of taste sensation. Patients who actually have anosmia may complain wrongly of ageusia, although they retain the ability to distinguish salt, sweet, sour, a",neurological; immunological; infectious; hematological,Unknown,All ages,Various,No,
D00074,Disease,infections will be beneficial. Corticosteroids are particularly helpful.,Anoxia is a condition characterized by an absence of oxygen supply to an organ or a tissue.,cardiovascular; respiratory; neurological; gastrointestinal,Unknown,All ages,Various,No,
D00075,Disease,Antacids,"Antacids are medicines that neutralize stomach acid. Purpose Antacids are used to relieve acid indigestion, upset stomach, sour stomach, and heartburn. Some formulations also contain dimethicone to reduce gas pains, or alginic acid, which, in combination with antacids, may help manage gastroesophage",cardiovascular; gastrointestinal,Unknown,All ages,Various,No,
D00076,Disease,Anthrax,"Anthrax is an infection caused by the bacterium Bacillus anthracis that primarily affects livestock but that can occasionally spread to humans, affecting either the skin, intestines, or lungs. In humans, the infection can often be treated, but it is almost always fatal in animals.",respiratory; gastrointestinal; musculoskeletal; endocrine,Critical,All ages,Various,No,
D00077,Disease,"New York: Marlowe & Company, 2005.","Androgens are male sex hormones. Antiandrogen drugs are a diverse group of drugs given to counteract the effects of androgens on various body organs and tissues. Some medications in this category work by lowering the body’s production of androgens, while others work by blocking the body’s ability to",neurological; endocrine; reproductive; psychiatric,Unknown,All ages,Various,No,
D00078,Disease,Antibiotic resistance,Origins Antibiotic resistance is the acquired ability of bacteria to reduce or eliminate the effects of antibacterial agents and to survive and multiply in their presence. Antibiotic resistance is spreading rapidly and has become a major global health threat.,infectious,Severe,All ages,Various,Yes,
D00079,Disease,Antibiotic-associated colitis,Antibiotic-associated colitis is an inflammation of the intestines that sometimes occurs following antibiotic treatment and is caused by toxins produced by the bacterium Clostridium difficile.,cardiovascular; gastrointestinal; infectious; hematological,Moderate,Adults/Elderly,Various,No,
D00080,Disease,"Antibiotics, topical","Topical antibiotics are medicines applied to the skin to kill or stop the growth of bacteria. 342 Topical antibiotics help prevent infections caused by bacteria that get into minor cuts, scrapes, and burns. Treating minor wounds with antibiotics allows quicker healing. If the wounds are left untreat",immunological; dermatological; infectious,Severe,All ages,Various,No,
D00081,Disease,Anti cancer diet,The phrase cancer diet can be used to refer to several different approaches to the associations between cancer and nutrition. Some people think of a cancer diet as a preventive approach to cancer or a way to lower one’s risk of cancer by avoiding foods associated with specific types of cancer. Cance,gastrointestinal; psychiatric; oncological,Unknown,All ages,C00-D49,No,
D00082,Disease,Antiemetics,"Antiemetics are a class of drugs given to treat nausea and vomiting. The term ‘‘antiemetic’’ is derived from emesis, which is the medical term for vomit. While some antiemetics are over-the-counter (OTC) preparations familiar to most people, most antiemetics are prescription-only.",neurological; gastrointestinal; endocrine; immunological,Unknown,All ages,Various,No,
D00083,Disease,Antigas agents,Antigas agents are medicines that relieve the uncomfortable symptoms of too much gas (flatulence) in the stomach and intestines. Purpose On average adults pass 1–3 pints of gas daily. Foods that cause gas in one person may not cause it in another. Excess gas can build up in the stomach and intestine,gastrointestinal; infectious,Unknown,Adults/Elderly,Various,No,
D00084,Disease,vomiting,"*Also used in the treatment of anxiety Antihistamines are drugs that block the action of histamine, a compound released in allergic inflammatory reactions. These drugs block the H1 receptor sites that are responsible for immediate hypersensitivity reactions such as sneezing and itching. Members of t",immunological; psychiatric,Moderate,All ages,Various,No,
D00085,Disease,Anti-inflammatory diets,"Anti-inflammatory diets are used to prevent or treat inflammation, which is the body’s immune reaction to an injury or an irritation. There are two types of inflammation: acute and chronic. Acute inflammation is the body’s response to an injury like a wound, broken bone, or bee sting. It is a normal",cardiovascular; gastrointestinal; musculoskeletal; endocrine,Unknown,All ages,Various,No,
D00086,Disease,[Tenormin]).,"Description Antimigraine drugs are medicines used to prevent or reduce the severity of migraine headaches. Purpose Migraine headaches usually cause an intense throbbing pain on one side of the head. Nausea, vomiting, dizziness, increased sensitivity to light and sound, and other symptoms may accompa",cardiovascular; neurological; dermatological; hematological,Unknown,All ages,Various,No,
D00087,Disease,Antioxidants,"Antioxidants are molecules that prevent oxygen molecules from interacting with other molecules in a process called oxidation. In the body, antioxidants combine with potentially damaging molecules called free radicals to prevent the free radicals from causing damage to cell membranes, DNA, and protei",,Unknown,All ages,Various,No,
D00088,Disease,Antiseptics,"Entanercept (Enbrel) may also cause blood problems, and some patients who received this drug have developed eye problems and multiple sclerosis. It is not certain whether these reactions were caused by entanercept, but multiple sclerosis has been seen in An antiseptic is a substance that inhibits th",dermatological; hematological; ophthalmological,Unknown,All ages,Various,No,
D00089,Disease,Anxiety,"Anxiety is a multisystem response to a perceived threat or danger. It reflects a combination of biochemical changes in the body, the patient’s personal history and memory, and the social situation. It is important to distinguish between anxiety as a feeling or experience, and an anxiety disorder as ",psychiatric,Unknown,All ages,Various,No,
D00090,Disease,Anxiety disorders,"Anxiety disorders are a group of mental disturbances characterized by anxiety as a central or core symptom. Although anxiety is a commonplace experience, not everyone who experiences it has an anxiety disorder. Anxiety is associated with a wide range of physical illnesses, medication side effects, a",cardiovascular; musculoskeletal; psychiatric,Unknown,All ages,Various,No,
D00091,Disease,2011).,"An aneurysm is an abnormal bulging or swelling of a portion of a blood vessel. The aorta, which can develop these abnormal bulges, is the large blood vessel that carries oxygen-rich blood away from the heart to the rest of the body. ORGANIZATIONS American Psychiatric Association, 1000 Wilson Blvd., ",cardiovascular; respiratory; gastrointestinal; renal,Unknown,All ages,Various,No,
D00092,Disease,Aortic aneurysm repair,Aortic aneurysm repair is an operation in which a weak and widened area of the aorta is repaired.,cardiovascular; respiratory; hematological,Unknown,All ages,Various,No,
D00093,Disease,Aortic dissection,"Aortic dissection is a rare, but potentially fatal, condition in which blood passes through the inner lining and between the layers of the aorta. The dissecting aorta usually does not burst but has an abnormal second channel within it.",cardiovascular; respiratory; renal; hematological,Critical,All ages,Various,No,
D00094,Disease,Aortic valve insufficiency,"Diagnosis The pain experienced by the patient is the first symptom of aortic dissection and is unique. The pain is usually described by the patient as ‘‘tearing, ripping, or stabbing.’’ This is in contrast to the pain associated with heart attacks. The patient frequently has a reduced or absent puls",cardiovascular; gastrointestinal; infectious; hematological,Unknown,All ages,Various,Yes,
D00095,Disease,Aortic valve replacement,Aortic valve replacement involves a medical procedure in which an artificial mechanical or healthy tissue value replaces a diseased and failing biological aortic valve. This procedure is performed when any number of diseases causes the aortic value to become leaky (aortic regurgitation) or narrowed ,cardiovascular; hematological,Unknown,All ages,Various,No,
D00096,Disease,2013).,"When aortic valve stenosis occurs, the aortic valve, located between the aorta and left ventricle of the heart, is narrower than normal size.",cardiovascular; respiratory; musculoskeletal; hematological,Severe,Infants,Various,No,
D00097,Disease,position of the aortic valve and then replacing the,"Apgar testing is an assessment of the newborn by rating color, heart rate, stimulus response, muscle tone, and respirations on a scale of zero to two in each category, for a maximum possible score of 10. It is performed twice, first at one minute and then again at five minutes after birth.",cardiovascular; musculoskeletal; dermatological,Unknown,Infants,Various,No,
D00098,Disease,Aplastic anemia,Aplastic anemia is a disorder in which the bone marrow significantly decreases or stops production of blood cells.,gastrointestinal; musculoskeletal; immunological; psychiatric,Critical,All ages,Various,No,Genetic/Hereditary
D00099,Disease,Appendicitis,"Appendicitis is an inflammation of the appendix, which is the worm- or finger-shaped pouch attached to the cecum, the beginning of the large intestine. The appendix has no known function in the human body, but it can become diseased. Appendicitis is a medical emergency, and if it is left untreated t",cardiovascular; gastrointestinal; infectious; hematological,Critical,Children; Adults/Elderly,Various,No,
D00100,Disease,Apraxia,Apraxia is neurological condition characterized by loss of the ability to perform activities that a person is physically able and willing to do.,neurological; gastrointestinal; oncological,Moderate,All ages,Various,No,
D00101,Disease,Arterial embolism,"An embolus is a blood clot, bit of tissue or tumor, gas bubble, or other foreign body that circulates in the blood stream until it becomes stuck in a blood vessel.",cardiovascular; neurological; hematological; oncological,Critical,All ages,Various,No,
